std,attendance
2.266098883,49.0
5.784468195,54.0
2.692846179,42.0
0.840209234,47.0
5.507553111,38.0
1.966253067,43.0
1.564705676,48.0
5.085413304,53.0
0.135272602,46.0
0.13488164,46.0
4.800990134,39.0
4.08211932,40.0
0.865142108,47.0
4.388102654,52.0
3.670508705,51.0
1.275604563,44.0
2.682198244,42.0
6.200167934,37.0
0.868446638,47.0
4.391609812,52.0
5.789560564,54.0
2.688190864,42.0
1.270428618,44.0
6.202897819,37.0
0.865765089,47.0
5.094294158,53.0
5.08026029,53.0
4.100830811,40.0
0.141421356,46.0
6.2055382,37.0
3.683891459,51.0
2.263510294,49.0
7.193709638,56.0
6.929646456,36.0
1.551441833,48.0
5.504788275,38.0
0.856869343,47.0
2.970226613,50.0
4.372748335,52.0
2.691143095,42.0
0.136919881,46.0
3.389622983,41.0
2.675438322,42.0
2.268324122,49.0
3.672872231,51.0
0.568276916,45.0
0.138467385,46.0
4.09348535,40.0
4.082852921,40.0
1.569923605,48.0
2.976426218,50.0
2.968755017,50.0
1.2706109,44.0
2.677940297,42.0
6.197582965,37.0
1.576559507,48.0
2.98316296,50.0
5.796839856,54.0
2.681635337,42.0
1.264221215,44.0
4.787665058,39.0
0.8670053,47.0
2.980836105,50.0
5.794740072,54.0
2.683831723,42.0
1.266459907,44.0
4.790078195,39.0
0.159274052,46.0
3.685684976,51.0
5.087337211,53.0
3.389595406,41.0
0.145580808,46.0
4.087042618,40.0
0.550163569,45.0
2.272720336,49.0
5.794156537,54.0
4.095398113,40.0
0.85228571,47.0
6.203797085,37.0
0.159778936,46.0
2.981040099,50.0
6.500984115,55.0
4.801238168,39.0
0.8535789,47.0
6.20272053,37.0
0.866289587,47.0
1.569676755,48.0
6.504048223,55.0
4.092900428,40.0
0.854835663,47.0
5.496223435,38.0
0.545199154,45.0
2.277905761,49.0
5.79992004,54.0
2.679130797,42.0
0.854420694,47.0
5.496816225,38.0
1.956763235,43.0
1.575141313,48.0
5.098953486,53.0
0.148864586,46.0
0.148524712,46.0
4.79028603,39.0
4.073899296,40.0
0.873862122,47.0
4.399420019,52.0
3.683978445,51.0
1.262918193,44.0
2.671115728,42.0
6.19273338,37.0
0.876369478,47.0
4.402055386,52.0
5.80331512,54.0
2.67600633,42.0
1.258995001,44.0
6.195006313,37.0
0.874127588,47.0
5.105497861,53.0
5.094276986,53.0
4.089124083,40.0
0.153180681,46.0
6.197219694,37.0
3.694209284,51.0
2.275039209,49.0
7.209114689,56.0
6.918014396,36.0
1.563881952,48.0
5.495316924,38.0
0.866776054,47.0
2.981684174,50.0
4.386484679,52.0
2.678846844,42.0
0.149261346,46.0
3.379067725,41.0
2.66628799,42.0
2.27862164,49.0
3.68502794,51.0
0.556436349,45.0
0.150353231,46.0
4.083690213,40.0
4.075129018,40.0
1.578416183,48.0
2.986382084,50.0
2.980160455,50.0
1.259855533,44.0
2.668521234,42.0
6.191210306,37.0
1.583685436,48.0
2.991717763,50.0
5.808169281,54.0
2.671614943,42.0
1.254824739,44.0
4.78056241,39.0
0.874503489,47.0
2.989722358,50.0
5.806323976,54.0
2.673523408,42.0
1.256760635,44.0
4.782613138,39.0
0.166797366,46.0
3.694881913,51.0
5.098836247,53.0
3.379658664,41.0
0.0,74.0
0.0,60.0
0.0,74.0
9.545941546,47.0
8.249579114,43.0
10.96015511,34.0
1.979898987,46.0
4.831896338,57.0
7.778174593,63.0
0.0,52.0
1.885618083,49.0
4.87903679,44.0
5.721136684,42.0
3.830161731,56.0
1.57739205,53.0
6.060915267,60.0
0.942809042,50.0
1.767766953,54.0
7.653391043,40.0
2.121320344,54.0
0.669890635,52.0
4.666904756,58.0
1.077496048,53.0
2.378450082,55.0
7.870405912,40.0
1.944543648,54.0
2.206173157,48.0
4.677783322,58.0
1.780861523,54.0
2.399112293,55.0
5.193577393,44.0
1.13137085,53.0
3.010906294,47.0
4.618291165,58.0
1.049946433,53.0
4.45061327,58.0
7.353910524,41.0
3.849803586,57.0
5.198190391,44.0
4.577586005,58.0
1.015332814,53.0
3.74766594,57.0
5.311924112,44.0
3.788072042,57.0
8.041284093,40.0
2.507014951,55.0
1.759910211,54.0
3.105121083,56.0
1.805379016,49.0
2.386485387,55.0
6.667006794,42.0
3.16783838,56.0
1.746969695,49.0
5.221711615,59.0
0.266832748,52.0
3.731952456,57.0
8.138156227,40.0
3.813325856,57.0
1.81118579,49.0
4.474279115,58.0
1.617956194,54.0
2.981633594,56.0
6.80445378,42.0
0.958015639,53.0
2.536605279,48.0
3.071495081,56.0
1.63178488,54.0
4.392633035,58.0
6.121222882,43.0
1.632584774,54.0
3.965946729,46.0
3.757767466,57.0
0.21910351,52.0
5.097061381,59.0
5.434067181,44.0
2.312430284,55.0
4.695189027,45.0
5.1358282,59.0
0.514259477,51.0
4.37862276,58.0
4.752831656,45.0
2.987526151,56.0
5.429881702,44.0
5.812072811,60.0
1.942413809,49.0
2.971532069,56.0
3.352518033,47.0
2.976426218,56.0
5.445534982,44.0
6.500561204,61.0
2.661581704,48.0
1.563491661,54.0
3.349044205,47.0
3.681566828,57.0
4.052558219,46.0
2.986397789,56.0
2.642346393,48.0
3.682847819,57.0
3.35328989,47.0
2.280058601,55.0
3.342686602,47.0
4.391133111,58.0
2.653400694,48.0
2.273833571,55.0
3.350175818,47.0
4.385421864,58.0
3.360440798,47.0
1.574313211,54.0
2.643389836,48.0
4.386680957,58.0
3.360379015,47.0
2.976276724,56.0
2.656428178,48.0
2.973636553,56.0
3.360321606,47.0
3.6781958,57.0
2.66241075,48.0
2.267618298,55.0
3.360268123,47.0
5.081580936,59.0
3.375097914,47.0
2.2627417,55.0
3.366062033,47.0
4.375947703,58.0
3.374566509,47.0
2.263882195,55.0
1.962928425,49.0
2.963114131,56.0
4.075607589,46.0
4.375223209,58.0
2.674946583,48.0
2.257302417,55.0
3.373601055,47.0
5.77470538,60.0
4.093776102,46.0
1.551413386,54.0
3.373161238,47.0
4.372623551,58.0
4.082638423,46.0
2.264791285,55.0
3.367659634,47.0
5.081067299,59.0
3.380070713,47.0
1.558622694,54.0
4.069572594,46.0
4.385044136,58.0
3.369729557,47.0
3.675986623,57.0
2.669688868,48.0
2.966981832,56.0
4.778902877,45.0
5.086454779,59.0
2.673893855,48.0
1.55842613,54.0
2.666670672,48.0
5.078312338,59.0
4.087533393,46.0
1.559261107,54.0
4.071493823,46.0
4.385852187,58.0
1.263008339,50.0
4.366384374,58.0
4.796028603,45.0
2.260995757,55.0
4.077793707,46.0
5.786203051,60.0
1.277077702,50.0
2.244851046,55.0
4.094444655,46.0
1.553109537,54.0
4.079462199,46.0
6.48874458,61.0
0.578917833,51.0
0.830439359,53.0
4.095497079,46.0
0.146297955,52.0
2.666802718,48.0
4.379240861,58.0
0.567283406,51.0
3.654709206,57.0
5.506742195,44.0
2.961991739,56.0
5.492774223,44.0
5.085729542,59.0
1.974489427,49.0
2.95908816,56.0
2.68318357,48.0
3.660988335,57.0
6.908471065,42.0
2.271768595,55.0
0.553713247,51.0
2.966126866,56.0
0.566425851,51.0
5.063915751,59.0
7.624296433,41.0
2.263470676,55.0
0.141421356,52.0
0.140699819,52.0
0.5635318,51.0
5.067598599,59.0
6.214722414,43.0
0.148492424,52.0
0.555835181,51.0
1.557735236,54.0
0.560808826,51.0
4.367424237,58.0
4.801427509,45.0
1.259748489,50.0
2.66104436,48.0
2.981406957,56.0
1.255199119,50.0
3.676955262,57.0
3.378026708,47.0
2.971849727,56.0
6.895121054,42.0
5.101742384,59.0
1.960165775,49.0
3.679574176,57.0
1.264319959,50.0
3.668521879,57.0
7.610277092,41.0
2.982704968,56.0
1.254234653,50.0
4.382787977,58.0
0.843454726,53.0
2.951539466,56.0
6.213111584,43.0
1.558137951,54.0
2.672676732,48.0
3.675094455,57.0
0.138951114,52.0
5.066573806,59.0
7.628182246,41.0
3.669640364,57.0
1.97868507,49.0
2.254280593,55.0
0.571703355,51.0
5.063603645,59.0
6.927856312,42.0
0.846745515,53.0
1.973390055,49.0
1.555634919,54.0
0.140834546,52.0
3.661176846,57.0
3.395858492,47.0
2.251729381,55.0
4.095447031,46.0
4.371989489,58.0
1.279662879,50.0
4.359541405,58.0
4.109170732,46.0
2.245771137,55.0
3.39749314,47.0
2.954696193,56.0
2.69147759,48.0
3.658024844,57.0
2.695324672,48.0
1.541271812,54.0
4.099568498,46.0
4.368713989,58.0
1.283166746,50.0
1.53931707,54.0
1.284170936,50.0
0.833954181,53.0
2.691307559,48.0
2.249885213,55.0
1.280797189,50.0
1.541811779,54.0
1.986255003,49.0
1.543498011,54.0
1.984630557,49.0
1.545159263,54.0
0.574035025,51.0
1.541596769,54.0
0.577600045,51.0
0.575492015,51.0
0.131136167,52.0
0.130661036,52.0
1.539297433,54.0
0.124633929,52.0
1.284957484,50.0
0.57578695,51.0
0.835442887,53.0
0.127881014,52.0
2.241253649,55.0
0.585105963,51.0
0.58305296,51.0
1.285648693,50.0
0.128116908,52.0
0.832323607,53.0
0.829443595,53.0
0.826583444,53.0
0.11906609,52.0
1.290712036,50.0
0.827773467,53.0
0.584445401,51.0
1.531665197,54.0
1.292380975,50.0
0.826148327,53.0
1.995559742,49.0
1.534823749,54.0
1.289291364,50.0
0.829264763,53.0
0.583011883,51.0
1.533231535,54.0
0.586154305,51.0
0.584232488,51.0
0.122472743,52.0
0.122073809,52.0
1.531299425,54.0
0.116706944,52.0
1.293321113,50.0
0.584329398,51.0
0.827224279,53.0
0.119733736,52.0
2.233916965,55.0
0.592622826,51.0
0.590747437,51.0
1.293760041,50.0
0.120074736,52.0
0.824588472,53.0
0.822011633,53.0
0.819450849,53.0
0.111995173,52.0
1.298186753,50.0
0.820593055,53.0
0.591793983,51.0
1.524834562,54.0
1.299606041,50.0
0.819209076,53.0
2.003111003,49.0
1.527779197,54.0
1.296718478,50.0
0.822118125,53.0
0.590317373,51.0
1.526419129,54.0
0.59312539,51.0
0.591360135,51.0
0.115403184,52.0
0.115061754,52.0
1.52476418,54.0
0.110225469,52.0
1.300164082,50.0
0.591323215,51.0
0.82049125,53.0
0.113054863,52.0
2.227898757,55.0
0.598792737,51.0
0.597067109,51.0
1.300426264,50.0
0.11346126,52.0
0.818223561,53.0
0.81589244,53.0
0.813574564,53.0
0.106166174,52.0
1.304352339,50.0
0.814666686,53.0
0.597862756,51.0
1.519190199,54.0
1.305579839,50.0
0.813468247,53.0
2.00936177,49.0
1.521944512,54.0
1.302873544,50.0
0.816192125,53.0
0.596378521,51.0
1.520763899,54.0
0.59891558,51.0
0.597283657,51.0
0.109524692,52.0
0.109227877,52.0
1.51932403,54.0
0.104827151,52.0
1.305866556,50.0
0.59715452,51.0
0.814874392,53.0
0.107480231,52.0
2.222872913,55.0
0.603947967,51.0
0.602350221,51.0
1.306001971,50.0
0.107926824,52.0
0.81289441,53.0
0.810766414,53.0
0.80864953,53.0
0.101278315,52.0
1.309525026,50.0
0.809692221,53.0
0.602959271,51.0
1.514447771,54.0
1.310601515,50.0
0.808640063,53.0
2.014621366,49.0
1.517032661,54.0
1.308057583,50.0
0.811198642,53.0
0.6014883,51.0
1.515994084,54.0
0.603801508,51.0
0.602284419,51.0
0.104559649,52.0
0.10429825,52.0
1.514725,54.0
0.100261409,52.0
1.310691726,50.0
0.602090923,51.0
0.810117399,53.0
0.102756897,52.0
2.218612677,55.0
0.608319804,51.0
0.60683247,51.0
1.310734521,50.0
0.103227267,52.0
0.808367218,53.0
0.806409913,53.0
0.804462063,53.0
0.09712069,52.0
1.313926783,50.0
0.805457365,53.0
0.607299843,51.0
1.510407086,54.0
1.314881895,50.0
0.804522917,53.0
2.019108226,49.0
1.512840749,54.0
1.312483577,50.0
0.806933621,53.0
0.605854402,51.0
1.511916841,54.0
0.607979662,51.0
0.60656246,51.0
0.100310497,52.0
0.100077758,52.0
1.510786016,54.0
0.096349423,52.0
1.314827586,50.0
0.606323746,51.0
0.806036858,53.0
0.098703693,52.0
2.214955488,55.0
0.612074207,51.0
0.610683129,51.0
1.314801725,50.0
0.099186924,52.0
0.804473629,53.0
0.802661752,53.0
0.800858017,53.0
0.093541032,52.0
1.317718006,50.0
0.801808582,53.0
0.611041049,51.0
1.506923118,54.0
1.318573843,50.0
0.800970513,53.0
2.02298099,49.0
1.509221302,54.0
1.31630647,50.0
0.803248493,53.0
0.609628166,51.0
1.50839154,54.0
0.611593447,51.0
0.610263896,51.0
0.096632814,52.0
0.096423652,52.0
1.507374499,54.0
0.092960159,52.0
1.318411998,50.0
0.609993404,51.0
0.80249806,53.0
0.095187451,52.0
2.211781765,55.0
0.615333348,51.0
0.614026908,51.0
1.318334677,50.0
0.095676182,52.0
0.801089328,53.0
0.799402824,53.0
0.797723407,53.0
0.090426653,52.0
1.32101748,50.0
0.798632085,53.0
0.614299016,51.0
1.503888227,54.0
1.321790892,50.0
0.797874111,53.0
2.026357656,49.0
1.506064546,54.0
1.319641668,50.0
0.800032518,53.0
0.612922476,51.0
1.505313209,54.0
0.614749977,51.0
0.61349794,51.0
0.093418579,52.0
0.093229089,52.0
1.504391148,54.0
0.089995409,52.0
1.321548359,50.0
0.613205277,51.0
0.799399835,53.0
0.092108098,52.0
0.0,57.0
0.0,59.0
0.0,50.0
6.363961031,68.0
4.714045208,69.0
7.071067812,49.0
1.13137085,57.0
2.003469213,62.0
1.919289835,56.0
2.651650429,63.0
2.357022604,63.0
2.969848481,55.0
1.79990817,62.0
0.353553391,60.0
0.979070928,58.0
0.90913729,58.0
1.13137085,61.0
0.397747564,60.0
0.374350649,60.0
0.353553391,60.0
0.334945317,59.0
0.353553391,60.0
0.336717515,60.0
0.321412173,60.0
0.307437731,60.0
0.294627825,60.0
0.282842712,60.0
0.271964147,60.0
0.2618914,60.0
0.252538136,60.0
0.243829925,60.0
0.23570226,60.0
0.228098962,60.0
0.220970869,60.0
0.214274782,60.0
0.207972583,60.0
0.202030509,60.0
0.19641855,60.0
0.191109941,60.0
0.186080732,60.0
0.181309431,60.0
0.176776695,60.0
0.172465069,60.0
0.168358757,60.0
0.164443437,60.0
0.160706087,60.0
0.15713484,60.0
0.153718865,60.0
0.150448251,60.0
0.147313913,60.0
0.144307506,60.0
0.141421356,60.0
0.138648388,60.0
0.135982073,60.0
0.133416374,60.0
0.1309457,60.0
0.128564869,60.0
0.126269068,60.0
0.124053821,60.0
0.121914962,60.0
0.119848607,60.0
0.11785113,60.0
0.115919144,60.0
0.114049481,60.0
0.112239172,60.0
0.110485435,60.0
0.108785659,60.0
0.107137391,60.0
0.105538326,60.0
0.103986291,60.0
0.102479244,60.0
0.101015254,60.0
0.099592504,60.0
0.098209275,60.0
0.096863943,60.0
0.09555497,60.0
0.094280904,60.0
0.093040366,60.0
0.09183205,60.0
0.090654716,60.0
0.089507187,60.0
0.088388348,60.0
0.087297133,60.0
0.086232534,60.0
0.085193588,60.0
0.084179379,60.0
0.083189033,60.0
0.082221719,60.0
0.081276642,60.0
0.080353043,60.0
0.0794502,60.0
0.07856742,60.0
0.077704042,60.0
0.076859433,60.0
0.076032987,60.0
0.075224126,60.0
0.074432293,60.0
0.073656956,60.0
0.072897606,60.0
0.072153753,60.0
0.071424927,60.0
0.070710678,60.0
0.070010572,60.0
0.069324194,60.0
0.068651144,60.0
0.067991037,60.0
0.067343503,60.0
0.066708187,60.0
0.066084746,60.0
0.06547285,60.0
0.064872182,60.0
0.064282435,60.0
0.063703314,60.0
0.063134534,60.0
0.062575821,60.0
0.062026911,60.0
0.061487546,60.0
0.060957481,60.0
0.060436477,60.0
0.059924303,60.0
0.059420738,60.0
0.058925565,60.0
0.058438577,60.0
0.057959572,60.0
0.057488356,60.0
0.05702474,60.0
0.056568542,60.0
0.056119586,60.0
0.055677699,60.0
0.055242717,60.0
0.054814479,60.0
0.054392829,60.0
0.053977617,60.0
0.053568696,60.0
0.053165923,60.0
0.052769163,60.0
0.05237828,60.0
0.051993146,60.0
0.051613634,60.0
0.051239622,60.0
0.050870991,60.0
0.050507627,60.0
0.050149417,60.0
0.049796252,60.0
0.049448027,60.0
0.049104638,60.0
0.048765985,60.0
0.048431971,60.0
0.048102502,60.0
0.047777485,60.0
0.047456831,60.0
0.047140452,60.0
0.046828264,60.0
0.046520183,60.0
0.046216129,60.0
0.045916025,60.0
0.045619792,60.0
0.045327358,60.0
0.045038648,60.0
0.044753594,60.0
0.044472125,60.0
0.044194174,60.0
0.043919676,60.0
0.043648567,60.0
0.043380784,60.0
0.043116267,60.0
0.042854956,60.0
0.042596794,60.0
0.042341723,60.0
0.042089689,60.0
0.041840638,60.0
0.041594517,60.0
0.041351274,60.0
0.041110859,60.0
0.040873224,60.0
0.040638321,60.0
0.040406102,60.0
0.040176522,60.0
0.039949536,60.0
0.0397251,60.0
0.039503172,60.0
0.03928371,60.0
0.039066673,60.0
0.038852021,60.0
0.038639715,60.0
0.038429716,60.0
0.038221988,60.0
0.038016494,60.0
0.037813197,60.0
0.037612063,60.0
0.037413057,60.0
0.037216146,60.0
0.037021297,60.0
0.036828478,60.0
0.036637657,60.0
0.036448803,60.0
0.036261886,60.0
0.036076877,60.0
0.035893745,60.0
0.035712464,60.0
0.035533004,60.0
0.035355339,60.0
0.035179442,60.0
0.035005286,60.0
0.034832846,60.0
0.034662097,60.0
0.034493014,60.0
0.034325572,60.0
0.034159748,60.0
0.033995518,60.0
0.03383286,60.0
0.033671751,60.0
0.03351217,60.0
0.033354093,60.0
0.033197501,60.0
0.033042373,60.0
0.032888687,60.0
0.032736425,60.0
0.032585566,60.0
0.032436091,60.0
0.032287981,60.0
0.032141217,60.0
0.031995782,60.0
0.031851657,60.0
0.031708824,60.0
0.031567267,60.0
0.031426968,60.0
0.031287911,60.0
0.031150078,60.0
0.031013455,60.0
0.030878025,60.0
0.030743773,60.0
0.030610683,60.0
0.030478741,60.0
0.030347931,60.0
0.030218239,60.0
0.03008965,60.0
0.029962152,60.0
0.029835729,60.0
0.029710369,60.0
0.029586058,60.0
0.029462783,60.0
0.02934053,60.0
0.029219288,60.0
0.029099044,60.0
0.028979786,60.0
0.028861501,60.0
0.028744178,60.0
0.028627805,60.0
0.02851237,60.0
0.028397863,60.0
0.028284271,60.0
0.028171585,60.0
0.028059793,60.0
0.027948885,60.0
0.02783885,60.0
0.027729678,60.0
0.027621359,60.0
0.027513883,60.0
0.02740724,60.0
0.02730142,60.0
0.027196415,60.0
0.027092214,60.0
0.026988808,60.0
0.026886189,60.0
0.026784348,60.0
0.026683275,60.0
0.026582962,60.0
0.0264834,60.0
0.026384581,60.0
0.026286497,60.0
0.02618914,60.0
0.026092501,60.0
0.025996573,60.0
0.025901347,60.0
0.025806817,60.0
0.025712974,60.0
0.025619811,60.0
0.025527321,60.0
0.025435496,60.0
0.025344329,60.0
0.025253814,60.0
0.025163942,60.0
0.025074709,60.0
0.024986105,60.0
0.024898126,60.0
0.024810764,60.0
0.024724013,60.0
0.024637867,60.0
0.024552319,60.0
0.024467363,60.0
0.024382992,60.0
0.024299202,60.0
0.024215986,60.0
0.024133337,60.0
0.024051251,60.0
0.023969721,60.0
0.023888743,60.0
0.023808309,60.0
0.023728415,60.0
0.023649056,60.0
0.023570226,60.0
0.02349192,60.0
0.023414132,60.0
0.023336857,60.0
0.023260091,60.0
0.023183829,60.0
0.023108065,60.0
0.023032794,60.0
0.022958012,60.0
0.022883715,60.0
0.022809896,60.0
0.022736552,60.0
0.022663679,60.0
0.022591271,60.0
0.022519324,60.0
0.022447834,60.0
0.022376797,60.0
0.022306208,60.0
0.022236062,60.0
0.022166357,60.0
0.022097087,60.0
0.022028249,60.0
0.021959838,60.0
0.021891851,60.0
0.021824283,60.0
0.021757132,60.0
0.021690392,60.0
0.021624061,60.0
0.021558134,60.0
0.021492607,60.0
0.021427478,60.0
0.021362743,60.0
0.021298397,60.0
0.021234438,60.0
0.021170862,60.0
0.021107665,60.0
0.021044845,60.0
0.020982397,60.0
0.020920319,60.0
0.020858607,60.0
0.020797258,60.0
0.020736269,60.0
0.020675637,60.0
0.020615358,60.0
0.02055543,60.0
0.020495849,60.0
0.020436612,60.0
0.020377717,60.0
0.02031916,60.0
0.020260939,60.0
0.020203051,60.0
0.020145492,60.0
0.020088261,60.0
0.020031354,60.0
0.019974768,60.0
0.019918501,60.0
0.01986255,60.0
0.019806913,60.0
0.019751586,60.0
0.019696568,60.0
0.019641855,60.0
0.019587445,60.0
0.019533336,60.0
0.019479526,60.0
0.01942601,60.0
0.019372789,60.0
0.019319857,60.0
0.019267215,60.0
0.019214858,60.0
0.019162785,60.0
0.019110994,60.0
0.019059482,60.0
0.019008247,60.0
0.018957286,60.0
0.018906598,60.0
0.018856181,60.0
0.018806031,60.0
0.018756148,60.0
0.018706529,60.0
0.018657171,60.0
0.018608073,60.0
0.018559233,60.0
0.018510649,60.0
0.018462318,60.0
0.018414239,60.0
0.01836641,60.0
0.018318829,60.0
0.018271493,60.0
0.018224402,60.0
0.018177552,60.0
0.018130943,60.0
0.018084572,60.0
0.018038438,60.0
0.017992539,60.0
0.017946873,60.0
0.017901437,60.0
0.017856232,60.0
0.017811254,60.0
