[step],attendance
149.0,55.0
150.0,40.0
151.0,47.0
152.0,37.0
153.0,45.0
154.0,49.0
155.0,54.0
156.0,42.0
157.0,47.0
158.0,38.0
159.0,42.0
160.0,47.0
161.0,54.0
162.0,47.0
163.0,46.0
164.0,39.0
165.0,40.0
166.0,47.0
167.0,52.0
168.0,51.0
169.0,44.0
170.0,42.0
171.0,37.0
172.0,47.0
173.0,52.0
174.0,54.0
175.0,42.0
176.0,44.0
177.0,37.0
178.0,47.0
179.0,53.0
180.0,53.0
181.0,40.0
182.0,46.0
183.0,37.0
184.0,51.0
185.0,49.0
186.0,56.0
187.0,36.0
188.0,48.0
189.0,38.0
190.0,47.0
191.0,50.0
192.0,52.0
193.0,42.0
194.0,46.0
195.0,41.0
196.0,42.0
197.0,49.0
198.0,51.0
199.0,45.0
200.0,46.0
201.0,40.0
202.0,40.0
203.0,48.0
204.0,50.0
205.0,50.0
206.0,44.0
207.0,42.0
208.0,37.0
209.0,48.0
210.0,50.0
211.0,54.0
212.0,42.0
213.0,44.0
214.0,39.0
215.0,47.0
216.0,50.0
217.0,54.0
218.0,42.0
219.0,44.0
220.0,39.0
221.0,46.0
222.0,51.0
223.0,53.0
224.0,41.0
225.0,46.0
226.0,40.0
227.0,45.0
228.0,49.0
229.0,54.0
230.0,40.0
231.0,47.0
232.0,37.0
233.0,46.0
234.0,50.0
235.0,55.0
236.0,39.0
237.0,47.0
238.0,37.0
239.0,47.0
240.0,48.0
241.0,55.0
242.0,40.0
243.0,47.0
244.0,38.0
245.0,45.0
246.0,49.0
247.0,54.0
248.0,42.0
249.0,47.0
250.0,38.0
251.0,43.0
252.0,48.0
253.0,53.0
254.0,46.0
255.0,46.0
256.0,39.0
257.0,40.0
258.0,47.0
259.0,52.0
260.0,51.0
261.0,44.0
262.0,42.0
263.0,37.0
264.0,47.0
265.0,52.0
266.0,54.0
267.0,42.0
268.0,44.0
269.0,37.0
270.0,47.0
271.0,53.0
272.0,53.0
273.0,40.0
274.0,46.0
275.0,37.0
276.0,51.0
277.0,49.0
278.0,56.0
279.0,36.0
280.0,48.0
281.0,38.0
282.0,47.0
283.0,50.0
284.0,52.0
285.0,42.0
286.0,46.0
287.0,41.0
288.0,42.0
289.0,49.0
290.0,51.0
291.0,45.0
292.0,46.0
293.0,40.0
294.0,40.0
295.0,48.0
296.0,50.0
297.0,50.0
298.0,44.0
299.0,42.0
300.0,37.0
301.0,48.0
302.0,50.0
303.0,54.0
304.0,42.0
305.0,44.0
306.0,39.0
307.0,47.0
308.0,50.0
309.0,54.0
310.0,42.0
311.0,44.0
312.0,39.0
313.0,46.0
314.0,51.0
315.0,53.0
316.0,41.0
317.0,46.0
318.0,40.0
319.0,45.0
320.0,49.0
321.0,54.0
322.0,40.0
323.0,47.0
324.0,37.0
325.0,46.0
326.0,50.0
327.0,55.0
328.0,39.0
329.0,47.0
330.0,37.0
331.0,47.0
332.0,48.0
333.0,55.0
334.0,40.0
335.0,47.0
336.0,38.0
337.0,45.0
338.0,49.0
339.0,54.0
340.0,42.0
341.0,47.0
342.0,38.0
343.0,43.0
344.0,48.0
345.0,53.0
346.0,46.0
347.0,46.0
348.0,39.0
349.0,40.0
350.0,47.0
351.0,52.0
352.0,51.0
353.0,44.0
354.0,42.0
355.0,37.0
356.0,47.0
357.0,52.0
358.0,54.0
359.0,42.0
360.0,44.0
361.0,37.0
362.0,47.0
363.0,53.0
364.0,53.0
365.0,40.0
366.0,46.0
367.0,37.0
368.0,51.0
369.0,49.0
370.0,56.0
371.0,36.0
372.0,48.0
373.0,38.0
374.0,47.0
375.0,50.0
376.0,52.0
377.0,42.0
378.0,46.0
379.0,41.0
380.0,42.0
381.0,49.0
382.0,51.0
383.0,45.0
384.0,46.0
385.0,40.0
386.0,40.0
387.0,48.0
388.0,50.0
389.0,50.0
390.0,44.0
391.0,42.0
392.0,37.0
393.0,48.0
394.0,50.0
395.0,54.0
396.0,42.0
397.0,44.0
398.0,39.0
399.0,47.0
400.0,50.0
401.0,54.0
402.0,42.0
403.0,44.0
404.0,39.0
405.0,46.0
406.0,51.0
407.0,53.0
408.0,41.0
409.0,46.0
410.0,40.0
411.0,45.0
412.0,49.0
413.0,54.0
414.0,40.0
415.0,47.0
416.0,37.0
417.0,46.0
418.0,50.0
419.0,55.0
420.0,39.0
421.0,47.0
422.0,37.0
423.0,47.0
424.0,48.0
425.0,55.0
426.0,40.0
427.0,47.0
428.0,38.0
429.0,45.0
430.0,49.0
431.0,54.0
432.0,42.0
433.0,47.0
434.0,38.0
435.0,43.0
436.0,48.0
437.0,53.0
438.0,46.0
439.0,46.0
440.0,39.0
441.0,40.0
442.0,47.0
443.0,52.0
444.0,51.0
445.0,44.0
446.0,42.0
447.0,37.0
448.0,47.0
449.0,52.0
450.0,54.0
451.0,42.0
452.0,44.0
453.0,37.0
454.0,47.0
455.0,53.0
456.0,53.0
457.0,40.0
458.0,46.0
459.0,37.0
460.0,51.0
461.0,49.0
462.0,56.0
463.0,36.0
464.0,48.0
465.0,38.0
466.0,47.0
467.0,50.0
468.0,52.0
469.0,42.0
470.0,46.0
471.0,41.0
472.0,42.0
473.0,49.0
474.0,51.0
475.0,45.0
476.0,46.0
477.0,40.0
478.0,40.0
479.0,48.0
480.0,50.0
481.0,50.0
482.0,44.0
483.0,42.0
484.0,37.0
485.0,48.0
486.0,50.0
487.0,54.0
488.0,42.0
489.0,44.0
490.0,39.0
491.0,47.0
492.0,50.0
493.0,54.0
494.0,42.0
495.0,44.0
496.0,39.0
497.0,46.0
498.0,51.0
499.0,53.0
500.0,41.0
0.0,74.0
1.0,60.0
2.0,74.0
3.0,47.0
4.0,43.0
5.0,34.0
6.0,46.0
7.0,57.0
8.0,63.0
9.0,52.0
10.0,49.0
11.0,44.0
12.0,42.0
13.0,56.0
14.0,53.0
15.0,60.0
16.0,50.0
17.0,54.0
18.0,40.0
19.0,54.0
20.0,52.0
21.0,58.0
22.0,53.0
23.0,55.0
24.0,40.0
25.0,54.0
26.0,48.0
27.0,58.0
28.0,54.0
29.0,55.0
30.0,44.0
31.0,53.0
32.0,47.0
33.0,58.0
34.0,53.0
35.0,58.0
36.0,41.0
37.0,57.0
38.0,44.0
39.0,58.0
40.0,53.0
41.0,57.0
42.0,44.0
43.0,57.0
44.0,40.0
45.0,55.0
46.0,54.0
47.0,56.0
48.0,49.0
49.0,55.0
50.0,42.0
51.0,56.0
52.0,49.0
53.0,59.0
54.0,52.0
55.0,57.0
56.0,40.0
57.0,57.0
58.0,49.0
59.0,58.0
60.0,54.0
61.0,56.0
62.0,42.0
63.0,53.0
64.0,48.0
65.0,56.0
66.0,54.0
67.0,58.0
68.0,43.0
69.0,54.0
70.0,46.0
71.0,57.0
72.0,52.0
73.0,59.0
74.0,44.0
75.0,55.0
76.0,45.0
77.0,59.0
78.0,51.0
79.0,58.0
80.0,45.0
81.0,56.0
82.0,44.0
83.0,60.0
84.0,49.0
85.0,56.0
86.0,47.0
87.0,56.0
88.0,44.0
89.0,61.0
90.0,48.0
91.0,54.0
92.0,47.0
93.0,57.0
94.0,46.0
95.0,56.0
96.0,48.0
97.0,57.0
98.0,47.0
99.0,55.0
100.0,47.0
101.0,58.0
102.0,48.0
103.0,55.0
104.0,47.0
105.0,58.0
106.0,47.0
107.0,54.0
108.0,48.0
109.0,58.0
110.0,47.0
111.0,56.0
112.0,48.0
113.0,56.0
114.0,47.0
115.0,57.0
116.0,48.0
117.0,55.0
118.0,47.0
119.0,59.0
120.0,47.0
121.0,55.0
122.0,47.0
123.0,58.0
124.0,47.0
125.0,55.0
126.0,49.0
127.0,56.0
128.0,46.0
129.0,58.0
130.0,48.0
131.0,55.0
132.0,47.0
133.0,60.0
134.0,46.0
135.0,54.0
136.0,47.0
137.0,58.0
138.0,46.0
139.0,55.0
140.0,47.0
141.0,59.0
142.0,47.0
143.0,54.0
144.0,46.0
145.0,58.0
146.0,47.0
147.0,57.0
148.0,48.0
149.0,56.0
150.0,45.0
151.0,59.0
152.0,48.0
153.0,54.0
154.0,48.0
155.0,59.0
156.0,46.0
157.0,54.0
158.0,46.0
159.0,58.0
160.0,50.0
161.0,58.0
162.0,45.0
163.0,55.0
164.0,46.0
165.0,60.0
166.0,50.0
167.0,55.0
168.0,46.0
169.0,54.0
170.0,46.0
171.0,61.0
172.0,51.0
173.0,53.0
174.0,46.0
175.0,52.0
176.0,48.0
177.0,58.0
178.0,51.0
179.0,57.0
180.0,44.0
181.0,56.0
182.0,44.0
183.0,59.0
184.0,49.0
185.0,56.0
186.0,48.0
187.0,57.0
188.0,42.0
189.0,55.0
190.0,51.0
191.0,56.0
192.0,51.0
193.0,59.0
194.0,41.0
195.0,55.0
196.0,52.0
197.0,52.0
198.0,51.0
199.0,59.0
200.0,43.0
201.0,52.0
202.0,51.0
203.0,54.0
204.0,51.0
205.0,58.0
206.0,45.0
207.0,50.0
208.0,48.0
209.0,56.0
210.0,50.0
211.0,57.0
212.0,47.0
213.0,56.0
214.0,42.0
215.0,59.0
216.0,49.0
217.0,57.0
218.0,50.0
219.0,57.0
220.0,41.0
221.0,56.0
222.0,50.0
223.0,58.0
224.0,53.0
225.0,56.0
226.0,43.0
227.0,54.0
228.0,48.0
229.0,57.0
230.0,52.0
231.0,59.0
232.0,41.0
233.0,57.0
234.0,49.0
235.0,55.0
236.0,51.0
237.0,59.0
238.0,42.0
239.0,53.0
240.0,49.0
241.0,54.0
242.0,52.0
243.0,57.0
244.0,47.0
245.0,55.0
246.0,46.0
247.0,58.0
248.0,50.0
249.0,58.0
250.0,46.0
251.0,55.0
252.0,47.0
253.0,56.0
254.0,48.0
255.0,57.0
256.0,48.0
257.0,54.0
258.0,46.0
259.0,58.0
260.0,50.0
261.0,54.0
262.0,50.0
263.0,53.0
264.0,48.0
265.0,55.0
266.0,50.0
267.0,54.0
268.0,49.0
269.0,54.0
270.0,49.0
271.0,54.0
272.0,51.0
273.0,54.0
274.0,51.0
275.0,51.0
276.0,52.0
277.0,52.0
278.0,54.0
279.0,52.0
280.0,50.0
281.0,51.0
282.0,53.0
283.0,52.0
284.0,55.0
285.0,51.0
286.0,51.0
287.0,50.0
288.0,52.0
289.0,53.0
290.0,53.0
291.0,53.0
292.0,52.0
293.0,50.0
294.0,53.0
295.0,51.0
296.0,54.0
297.0,50.0
298.0,53.0
299.0,49.0
300.0,54.0
301.0,50.0
302.0,53.0
303.0,51.0
304.0,54.0
305.0,51.0
306.0,51.0
307.0,52.0
308.0,52.0
309.0,54.0
310.0,52.0
311.0,50.0
312.0,51.0
313.0,53.0
314.0,52.0
315.0,55.0
316.0,51.0
317.0,51.0
318.0,50.0
319.0,52.0
320.0,53.0
321.0,53.0
322.0,53.0
323.0,52.0
324.0,50.0
325.0,53.0
326.0,51.0
327.0,54.0
328.0,50.0
329.0,53.0
330.0,49.0
331.0,54.0
332.0,50.0
333.0,53.0
334.0,51.0
335.0,54.0
336.0,51.0
337.0,51.0
338.0,52.0
339.0,52.0
340.0,54.0
341.0,52.0
342.0,50.0
343.0,51.0
344.0,53.0
345.0,52.0
346.0,55.0
347.0,51.0
348.0,51.0
349.0,50.0
350.0,52.0
351.0,53.0
352.0,53.0
353.0,53.0
354.0,52.0
355.0,50.0
356.0,53.0
357.0,51.0
358.0,54.0
359.0,50.0
360.0,53.0
361.0,49.0
362.0,54.0
363.0,50.0
364.0,53.0
365.0,51.0
366.0,54.0
367.0,51.0
368.0,51.0
369.0,52.0
370.0,52.0
371.0,54.0
372.0,52.0
373.0,50.0
374.0,51.0
375.0,53.0
376.0,52.0
377.0,55.0
378.0,51.0
379.0,51.0
380.0,50.0
381.0,52.0
382.0,53.0
383.0,53.0
384.0,53.0
385.0,52.0
386.0,50.0
387.0,53.0
388.0,51.0
389.0,54.0
390.0,50.0
391.0,53.0
392.0,49.0
393.0,54.0
394.0,50.0
395.0,53.0
396.0,51.0
397.0,54.0
398.0,51.0
399.0,51.0
400.0,52.0
401.0,52.0
402.0,54.0
403.0,52.0
404.0,50.0
405.0,51.0
406.0,53.0
407.0,52.0
408.0,55.0
409.0,51.0
410.0,51.0
411.0,50.0
412.0,52.0
413.0,53.0
414.0,53.0
415.0,53.0
416.0,52.0
417.0,50.0
418.0,53.0
419.0,51.0
420.0,54.0
421.0,50.0
422.0,53.0
423.0,49.0
424.0,54.0
425.0,50.0
426.0,53.0
427.0,51.0
428.0,54.0
429.0,51.0
430.0,51.0
431.0,52.0
432.0,52.0
433.0,54.0
434.0,52.0
435.0,50.0
436.0,51.0
437.0,53.0
438.0,52.0
439.0,55.0
440.0,51.0
441.0,51.0
442.0,50.0
443.0,52.0
444.0,53.0
445.0,53.0
446.0,53.0
447.0,52.0
448.0,50.0
449.0,53.0
450.0,51.0
451.0,54.0
452.0,50.0
453.0,53.0
454.0,49.0
455.0,54.0
456.0,50.0
457.0,53.0
458.0,51.0
459.0,54.0
460.0,51.0
461.0,51.0
462.0,52.0
463.0,52.0
464.0,54.0
465.0,52.0
466.0,50.0
467.0,51.0
468.0,53.0
469.0,52.0
470.0,55.0
471.0,51.0
472.0,51.0
473.0,50.0
474.0,52.0
475.0,53.0
476.0,53.0
477.0,53.0
478.0,52.0
479.0,50.0
480.0,53.0
481.0,51.0
482.0,54.0
483.0,50.0
484.0,53.0
485.0,49.0
486.0,54.0
487.0,50.0
488.0,53.0
489.0,51.0
490.0,54.0
491.0,51.0
492.0,51.0
493.0,52.0
494.0,52.0
495.0,54.0
496.0,52.0
497.0,50.0
498.0,51.0
499.0,53.0
500.0,52.0
0.0,57.0
1.0,59.0
2.0,50.0
3.0,68.0
4.0,69.0
5.0,49.0
6.0,57.0
7.0,62.0
8.0,56.0
9.0,63.0
10.0,63.0
11.0,55.0
12.0,62.0
13.0,60.0
14.0,58.0
15.0,58.0
16.0,61.0
17.0,60.0
18.0,60.0
19.0,60.0
20.0,59.0
21.0,60.0
22.0,60.0
23.0,60.0
24.0,60.0
25.0,60.0
26.0,60.0
27.0,60.0
28.0,60.0
29.0,60.0
30.0,60.0
31.0,60.0
32.0,60.0
33.0,60.0
34.0,60.0
35.0,60.0
36.0,60.0
37.0,60.0
38.0,60.0
39.0,60.0
40.0,60.0
41.0,60.0
42.0,60.0
43.0,60.0
44.0,60.0
45.0,60.0
46.0,60.0
47.0,60.0
48.0,60.0
49.0,60.0
50.0,60.0
51.0,60.0
52.0,60.0
53.0,60.0
54.0,60.0
55.0,60.0
56.0,60.0
57.0,60.0
58.0,60.0
59.0,60.0
60.0,60.0
61.0,60.0
62.0,60.0
63.0,60.0
64.0,60.0
65.0,60.0
66.0,60.0
67.0,60.0
68.0,60.0
69.0,60.0
70.0,60.0
71.0,60.0
72.0,60.0
73.0,60.0
74.0,60.0
75.0,60.0
76.0,60.0
77.0,60.0
78.0,60.0
79.0,60.0
80.0,60.0
81.0,60.0
82.0,60.0
83.0,60.0
84.0,60.0
85.0,60.0
86.0,60.0
87.0,60.0
88.0,60.0
89.0,60.0
90.0,60.0
91.0,60.0
92.0,60.0
93.0,60.0
94.0,60.0
95.0,60.0
96.0,60.0
97.0,60.0
98.0,60.0
99.0,60.0
100.0,60.0
101.0,60.0
102.0,60.0
103.0,60.0
104.0,60.0
105.0,60.0
106.0,60.0
107.0,60.0
108.0,60.0
109.0,60.0
110.0,60.0
111.0,60.0
112.0,60.0
113.0,60.0
114.0,60.0
115.0,60.0
116.0,60.0
117.0,60.0
118.0,60.0
119.0,60.0
120.0,60.0
121.0,60.0
122.0,60.0
123.0,60.0
124.0,60.0
125.0,60.0
126.0,60.0
127.0,60.0
128.0,60.0
129.0,60.0
130.0,60.0
131.0,60.0
132.0,60.0
133.0,60.0
134.0,60.0
135.0,60.0
136.0,60.0
137.0,60.0
138.0,60.0
139.0,60.0
140.0,60.0
141.0,60.0
142.0,60.0
143.0,60.0
144.0,60.0
145.0,60.0
146.0,60.0
147.0,60.0
148.0,60.0
149.0,60.0
150.0,60.0
151.0,60.0
152.0,60.0
153.0,60.0
154.0,60.0
155.0,60.0
156.0,60.0
157.0,60.0
158.0,60.0
159.0,60.0
160.0,60.0
161.0,60.0
162.0,60.0
163.0,60.0
164.0,60.0
165.0,60.0
166.0,60.0
167.0,60.0
168.0,60.0
169.0,60.0
170.0,60.0
171.0,60.0
172.0,60.0
173.0,60.0
174.0,60.0
175.0,60.0
176.0,60.0
177.0,60.0
178.0,60.0
179.0,60.0
180.0,60.0
181.0,60.0
182.0,60.0
183.0,60.0
184.0,60.0
185.0,60.0
186.0,60.0
187.0,60.0
188.0,60.0
189.0,60.0
190.0,60.0
191.0,60.0
192.0,60.0
193.0,60.0
194.0,60.0
195.0,60.0
196.0,60.0
197.0,60.0
198.0,60.0
199.0,60.0
200.0,60.0
201.0,60.0
202.0,60.0
203.0,60.0
204.0,60.0
205.0,60.0
206.0,60.0
207.0,60.0
208.0,60.0
209.0,60.0
210.0,60.0
211.0,60.0
212.0,60.0
213.0,60.0
214.0,60.0
215.0,60.0
216.0,60.0
217.0,60.0
218.0,60.0
219.0,60.0
220.0,60.0
221.0,60.0
222.0,60.0
223.0,60.0
224.0,60.0
225.0,60.0
226.0,60.0
227.0,60.0
228.0,60.0
229.0,60.0
230.0,60.0
231.0,60.0
232.0,60.0
233.0,60.0
234.0,60.0
235.0,60.0
236.0,60.0
237.0,60.0
238.0,60.0
239.0,60.0
240.0,60.0
241.0,60.0
242.0,60.0
243.0,60.0
244.0,60.0
245.0,60.0
246.0,60.0
247.0,60.0
248.0,60.0
249.0,60.0
250.0,60.0
251.0,60.0
252.0,60.0
253.0,60.0
254.0,60.0
255.0,60.0
256.0,60.0
257.0,60.0
258.0,60.0
259.0,60.0
260.0,60.0
261.0,60.0
262.0,60.0
263.0,60.0
264.0,60.0
265.0,60.0
266.0,60.0
267.0,60.0
268.0,60.0
269.0,60.0
270.0,60.0
271.0,60.0
272.0,60.0
273.0,60.0
274.0,60.0
275.0,60.0
276.0,60.0
277.0,60.0
278.0,60.0
279.0,60.0
280.0,60.0
281.0,60.0
282.0,60.0
283.0,60.0
284.0,60.0
285.0,60.0
286.0,60.0
287.0,60.0
288.0,60.0
289.0,60.0
290.0,60.0
291.0,60.0
292.0,60.0
293.0,60.0
294.0,60.0
295.0,60.0
296.0,60.0
297.0,60.0
298.0,60.0
299.0,60.0
300.0,60.0
301.0,60.0
302.0,60.0
303.0,60.0
304.0,60.0
305.0,60.0
306.0,60.0
307.0,60.0
308.0,60.0
309.0,60.0
310.0,60.0
311.0,60.0
312.0,60.0
313.0,60.0
314.0,60.0
315.0,60.0
316.0,60.0
317.0,60.0
318.0,60.0
319.0,60.0
320.0,60.0
321.0,60.0
322.0,60.0
323.0,60.0
324.0,60.0
325.0,60.0
326.0,60.0
327.0,60.0
328.0,60.0
329.0,60.0
330.0,60.0
331.0,60.0
332.0,60.0
333.0,60.0
334.0,60.0
335.0,60.0
336.0,60.0
337.0,60.0
338.0,60.0
339.0,60.0
340.0,60.0
341.0,60.0
342.0,60.0
343.0,60.0
344.0,60.0
345.0,60.0
346.0,60.0
347.0,60.0
348.0,60.0
349.0,60.0
350.0,60.0
351.0,60.0
352.0,60.0
353.0,60.0
354.0,60.0
355.0,60.0
356.0,60.0
357.0,60.0
358.0,60.0
359.0,60.0
360.0,60.0
361.0,60.0
362.0,60.0
363.0,60.0
364.0,60.0
365.0,60.0
366.0,60.0
367.0,60.0
368.0,60.0
369.0,60.0
370.0,60.0
371.0,60.0
372.0,60.0
373.0,60.0
374.0,60.0
375.0,60.0
376.0,60.0
377.0,60.0
378.0,60.0
379.0,60.0
380.0,60.0
381.0,60.0
382.0,60.0
383.0,60.0
384.0,60.0
385.0,60.0
386.0,60.0
387.0,60.0
388.0,60.0
389.0,60.0
390.0,60.0
391.0,60.0
392.0,60.0
393.0,60.0
394.0,60.0
395.0,60.0
396.0,60.0
397.0,60.0
398.0,60.0
399.0,60.0
400.0,60.0
401.0,60.0
402.0,60.0
403.0,60.0
404.0,60.0
405.0,60.0
406.0,60.0
407.0,60.0
408.0,60.0
409.0,60.0
410.0,60.0
411.0,60.0
412.0,60.0
413.0,60.0
414.0,60.0
415.0,60.0
416.0,60.0
417.0,60.0
418.0,60.0
419.0,60.0
420.0,60.0
421.0,60.0
422.0,60.0
423.0,60.0
424.0,60.0
425.0,60.0
426.0,60.0
427.0,60.0
428.0,60.0
429.0,60.0
430.0,60.0
431.0,60.0
432.0,60.0
433.0,60.0
434.0,60.0
435.0,60.0
436.0,60.0
437.0,60.0
438.0,60.0
439.0,60.0
440.0,60.0
441.0,60.0
442.0,60.0
443.0,60.0
444.0,60.0
445.0,60.0
446.0,60.0
447.0,60.0
448.0,60.0
449.0,60.0
450.0,60.0
451.0,60.0
452.0,60.0
453.0,60.0
454.0,60.0
455.0,60.0
456.0,60.0
457.0,60.0
458.0,60.0
459.0,60.0
460.0,60.0
461.0,60.0
462.0,60.0
463.0,60.0
464.0,60.0
465.0,60.0
466.0,60.0
467.0,60.0
468.0,60.0
469.0,60.0
470.0,60.0
471.0,60.0
472.0,60.0
473.0,60.0
474.0,60.0
475.0,60.0
476.0,60.0
477.0,60.0
478.0,60.0
479.0,60.0
480.0,60.0
481.0,60.0
482.0,60.0
483.0,60.0
484.0,60.0
485.0,60.0
486.0,60.0
487.0,60.0
488.0,60.0
489.0,60.0
490.0,60.0
491.0,60.0
492.0,60.0
493.0,60.0
494.0,60.0
495.0,60.0
496.0,60.0
497.0,60.0
498.0,60.0
499.0,60.0
500.0,60.0
0.0,20.0
1.0,80.0
2.0,73.0
3.0,67.0
4.0,73.0
5.0,60.0
6.0,46.0
7.0,62.0
8.0,75.0
9.0,71.0
10.0,63.0
11.0,63.0
12.0,60.0
13.0,59.0
14.0,69.0
15.0,73.0
16.0,64.0
17.0,63.0
18.0,64.0
19.0,62.0
20.0,67.0
21.0,68.0
22.0,68.0
23.0,64.0
24.0,64.0
25.0,65.0
26.0,64.0
27.0,68.0
28.0,68.0
29.0,66.0
30.0,64.0
31.0,66.0
32.0,65.0
33.0,67.0
34.0,67.0
35.0,67.0
36.0,65.0
37.0,66.0
38.0,66.0
39.0,66.0
40.0,67.0
41.0,67.0
42.0,66.0
43.0,65.0
44.0,66.0
45.0,67.0
46.0,66.0
47.0,66.0
48.0,66.0
49.0,66.0
50.0,66.0
51.0,67.0
52.0,67.0
53.0,66.0
54.0,65.0
55.0,67.0
56.0,65.0
57.0,67.0
58.0,67.0
59.0,67.0
60.0,65.0
61.0,66.0
62.0,67.0
63.0,64.0
64.0,67.0
65.0,68.0
66.0,64.0
67.0,66.0
68.0,66.0
69.0,65.0
70.0,66.0
71.0,68.0
72.0,67.0
73.0,65.0
74.0,64.0
75.0,66.0
76.0,64.0
77.0,68.0
78.0,68.0
79.0,66.0
80.0,65.0
81.0,65.0
82.0,64.0
83.0,67.0
84.0,68.0
85.0,67.0
86.0,65.0
87.0,64.0
88.0,66.0
89.0,64.0
90.0,68.0
91.0,68.0
92.0,66.0
93.0,65.0
94.0,65.0
95.0,64.0
96.0,67.0
97.0,68.0
98.0,67.0
99.0,65.0
100.0,64.0
101.0,66.0
102.0,64.0
103.0,68.0
104.0,68.0
105.0,66.0
106.0,65.0
107.0,65.0
108.0,64.0
109.0,67.0
110.0,68.0
111.0,67.0
112.0,65.0
113.0,64.0
114.0,66.0
115.0,64.0
116.0,68.0
117.0,68.0
118.0,66.0
119.0,65.0
120.0,65.0
121.0,64.0
122.0,67.0
123.0,68.0
124.0,67.0
125.0,65.0
126.0,64.0
127.0,66.0
128.0,64.0
129.0,68.0
130.0,68.0
131.0,66.0
132.0,65.0
133.0,65.0
134.0,64.0
135.0,67.0
136.0,68.0
137.0,67.0
138.0,65.0
139.0,64.0
140.0,66.0
141.0,64.0
142.0,68.0
143.0,68.0
144.0,66.0
145.0,65.0
146.0,65.0
147.0,64.0
148.0,67.0
149.0,68.0
150.0,67.0
151.0,65.0
152.0,64.0
153.0,66.0
154.0,64.0
155.0,68.0
156.0,68.0
157.0,66.0
158.0,65.0
159.0,65.0
160.0,64.0
161.0,67.0
162.0,68.0
163.0,67.0
164.0,65.0
165.0,64.0
166.0,66.0
167.0,64.0
168.0,68.0
169.0,68.0
170.0,66.0
171.0,65.0
172.0,65.0
173.0,64.0
174.0,67.0
175.0,68.0
176.0,67.0
177.0,65.0
178.0,64.0
179.0,66.0
180.0,64.0
181.0,68.0
182.0,68.0
183.0,66.0
184.0,65.0
185.0,65.0
186.0,64.0
187.0,67.0
188.0,68.0
189.0,67.0
190.0,65.0
191.0,64.0
192.0,66.0
193.0,64.0
194.0,68.0
195.0,68.0
196.0,66.0
197.0,65.0
198.0,65.0
199.0,64.0
200.0,67.0
201.0,68.0
202.0,67.0
203.0,65.0
204.0,64.0
205.0,66.0
206.0,64.0
207.0,68.0
208.0,68.0
209.0,66.0
210.0,65.0
211.0,65.0
212.0,64.0
213.0,67.0
214.0,68.0
215.0,67.0
216.0,65.0
217.0,64.0
218.0,66.0
219.0,64.0
220.0,68.0
221.0,68.0
222.0,66.0
223.0,65.0
224.0,65.0
225.0,64.0
226.0,67.0
227.0,68.0
228.0,67.0
229.0,65.0
230.0,64.0
231.0,66.0
232.0,64.0
233.0,68.0
234.0,68.0
235.0,66.0
236.0,65.0
237.0,65.0
238.0,64.0
239.0,67.0
240.0,68.0
241.0,67.0
242.0,65.0
243.0,64.0
244.0,66.0
