attendance,[step]
48.0,209.0
50.0,210.0
54.0,211.0
42.0,212.0
44.0,213.0
39.0,214.0
47.0,215.0
50.0,216.0
54.0,217.0
42.0,218.0
44.0,219.0
39.0,220.0
46.0,221.0
51.0,222.0
53.0,223.0
41.0,224.0
46.0,225.0
40.0,226.0
45.0,227.0
49.0,228.0
54.0,229.0
40.0,230.0
47.0,231.0
37.0,232.0
46.0,233.0
50.0,234.0
55.0,235.0
39.0,236.0
47.0,237.0
37.0,238.0
47.0,239.0
48.0,240.0
55.0,241.0
40.0,242.0
47.0,243.0
38.0,244.0
45.0,245.0
49.0,246.0
54.0,247.0
42.0,248.0
47.0,249.0
38.0,250.0
43.0,251.0
48.0,252.0
53.0,253.0
46.0,254.0
46.0,255.0
39.0,256.0
40.0,257.0
47.0,258.0
52.0,259.0
51.0,260.0
44.0,261.0
42.0,262.0
37.0,263.0
47.0,264.0
52.0,265.0
54.0,266.0
42.0,267.0
44.0,268.0
37.0,269.0
47.0,270.0
53.0,271.0
53.0,272.0
40.0,273.0
46.0,274.0
37.0,275.0
51.0,276.0
49.0,277.0
56.0,278.0
36.0,279.0
48.0,280.0
38.0,281.0
47.0,282.0
50.0,283.0
52.0,284.0
42.0,285.0
46.0,286.0
41.0,287.0
42.0,288.0
49.0,289.0
51.0,290.0
45.0,291.0
46.0,292.0
40.0,293.0
40.0,294.0
48.0,295.0
50.0,296.0
50.0,297.0
44.0,298.0
42.0,299.0
37.0,300.0
48.0,301.0
50.0,302.0
54.0,303.0
42.0,304.0
44.0,305.0
39.0,306.0
47.0,307.0
50.0,308.0
54.0,309.0
42.0,310.0
44.0,311.0
39.0,312.0
46.0,313.0
51.0,314.0
53.0,315.0
41.0,316.0
46.0,317.0
40.0,318.0
45.0,319.0
49.0,320.0
54.0,321.0
40.0,322.0
47.0,323.0
37.0,324.0
46.0,325.0
50.0,326.0
55.0,327.0
39.0,328.0
47.0,329.0
37.0,330.0
47.0,331.0
48.0,332.0
55.0,333.0
40.0,334.0
47.0,335.0
38.0,336.0
45.0,337.0
49.0,338.0
54.0,339.0
42.0,340.0
47.0,341.0
38.0,342.0
43.0,343.0
48.0,344.0
53.0,345.0
46.0,346.0
46.0,347.0
39.0,348.0
40.0,349.0
47.0,350.0
52.0,351.0
51.0,352.0
44.0,353.0
42.0,354.0
37.0,355.0
47.0,356.0
52.0,357.0
54.0,358.0
42.0,359.0
44.0,360.0
37.0,361.0
47.0,362.0
53.0,363.0
53.0,364.0
40.0,365.0
46.0,366.0
37.0,367.0
51.0,368.0
49.0,369.0
56.0,370.0
36.0,371.0
48.0,372.0
38.0,373.0
47.0,374.0
50.0,375.0
52.0,376.0
42.0,377.0
46.0,378.0
41.0,379.0
42.0,380.0
49.0,381.0
51.0,382.0
45.0,383.0
46.0,384.0
40.0,385.0
40.0,386.0
48.0,387.0
50.0,388.0
50.0,389.0
44.0,390.0
42.0,391.0
37.0,392.0
48.0,393.0
50.0,394.0
54.0,395.0
42.0,396.0
44.0,397.0
39.0,398.0
47.0,399.0
50.0,400.0
54.0,401.0
42.0,402.0
44.0,403.0
39.0,404.0
46.0,405.0
51.0,406.0
53.0,407.0
41.0,408.0
46.0,409.0
40.0,410.0
45.0,411.0
49.0,412.0
54.0,413.0
40.0,414.0
47.0,415.0
37.0,416.0
46.0,417.0
50.0,418.0
55.0,419.0
39.0,420.0
47.0,421.0
37.0,422.0
47.0,423.0
48.0,424.0
55.0,425.0
40.0,426.0
47.0,427.0
38.0,428.0
45.0,429.0
49.0,430.0
54.0,431.0
42.0,432.0
47.0,433.0
38.0,434.0
43.0,435.0
48.0,436.0
53.0,437.0
46.0,438.0
46.0,439.0
39.0,440.0
40.0,441.0
47.0,442.0
52.0,443.0
51.0,444.0
44.0,445.0
42.0,446.0
37.0,447.0
47.0,448.0
52.0,449.0
54.0,450.0
42.0,451.0
44.0,452.0
37.0,453.0
47.0,454.0
53.0,455.0
53.0,456.0
40.0,457.0
46.0,458.0
37.0,459.0
51.0,460.0
49.0,461.0
56.0,462.0
36.0,463.0
48.0,464.0
38.0,465.0
47.0,466.0
50.0,467.0
52.0,468.0
42.0,469.0
46.0,470.0
41.0,471.0
42.0,472.0
49.0,473.0
51.0,474.0
45.0,475.0
46.0,476.0
40.0,477.0
40.0,478.0
48.0,479.0
50.0,480.0
50.0,481.0
44.0,482.0
42.0,483.0
37.0,484.0
48.0,485.0
50.0,486.0
54.0,487.0
42.0,488.0
44.0,489.0
39.0,490.0
47.0,491.0
50.0,492.0
54.0,493.0
42.0,494.0
44.0,495.0
39.0,496.0
46.0,497.0
51.0,498.0
53.0,499.0
41.0,500.0
74.0,0.0
60.0,1.0
74.0,2.0
47.0,3.0
43.0,4.0
34.0,5.0
46.0,6.0
57.0,7.0
63.0,8.0
52.0,9.0
49.0,10.0
44.0,11.0
42.0,12.0
56.0,13.0
53.0,14.0
60.0,15.0
50.0,16.0
54.0,17.0
40.0,18.0
54.0,19.0
52.0,20.0
58.0,21.0
53.0,22.0
55.0,23.0
40.0,24.0
54.0,25.0
48.0,26.0
58.0,27.0
54.0,28.0
55.0,29.0
44.0,30.0
53.0,31.0
47.0,32.0
58.0,33.0
53.0,34.0
58.0,35.0
41.0,36.0
57.0,37.0
44.0,38.0
58.0,39.0
53.0,40.0
57.0,41.0
44.0,42.0
57.0,43.0
40.0,44.0
55.0,45.0
54.0,46.0
56.0,47.0
49.0,48.0
55.0,49.0
42.0,50.0
56.0,51.0
49.0,52.0
59.0,53.0
52.0,54.0
57.0,55.0
40.0,56.0
57.0,57.0
49.0,58.0
58.0,59.0
54.0,60.0
56.0,61.0
42.0,62.0
53.0,63.0
48.0,64.0
56.0,65.0
54.0,66.0
58.0,67.0
43.0,68.0
54.0,69.0
46.0,70.0
57.0,71.0
52.0,72.0
59.0,73.0
44.0,74.0
55.0,75.0
45.0,76.0
59.0,77.0
51.0,78.0
58.0,79.0
45.0,80.0
56.0,81.0
44.0,82.0
60.0,83.0
49.0,84.0
56.0,85.0
47.0,86.0
56.0,87.0
44.0,88.0
61.0,89.0
48.0,90.0
54.0,91.0
47.0,92.0
57.0,93.0
46.0,94.0
56.0,95.0
48.0,96.0
57.0,97.0
47.0,98.0
55.0,99.0
47.0,100.0
58.0,101.0
48.0,102.0
55.0,103.0
47.0,104.0
58.0,105.0
47.0,106.0
54.0,107.0
48.0,108.0
58.0,109.0
47.0,110.0
56.0,111.0
48.0,112.0
56.0,113.0
47.0,114.0
57.0,115.0
48.0,116.0
55.0,117.0
47.0,118.0
59.0,119.0
47.0,120.0
55.0,121.0
47.0,122.0
58.0,123.0
47.0,124.0
55.0,125.0
49.0,126.0
56.0,127.0
46.0,128.0
58.0,129.0
48.0,130.0
55.0,131.0
47.0,132.0
60.0,133.0
46.0,134.0
54.0,135.0
47.0,136.0
58.0,137.0
46.0,138.0
55.0,139.0
47.0,140.0
59.0,141.0
47.0,142.0
54.0,143.0
46.0,144.0
58.0,145.0
47.0,146.0
57.0,147.0
48.0,148.0
56.0,149.0
45.0,150.0
59.0,151.0
48.0,152.0
54.0,153.0
48.0,154.0
59.0,155.0
46.0,156.0
54.0,157.0
46.0,158.0
58.0,159.0
50.0,160.0
58.0,161.0
45.0,162.0
55.0,163.0
46.0,164.0
60.0,165.0
50.0,166.0
55.0,167.0
46.0,168.0
54.0,169.0
46.0,170.0
61.0,171.0
51.0,172.0
53.0,173.0
46.0,174.0
52.0,175.0
48.0,176.0
58.0,177.0
51.0,178.0
57.0,179.0
44.0,180.0
56.0,181.0
44.0,182.0
59.0,183.0
49.0,184.0
56.0,185.0
48.0,186.0
57.0,187.0
42.0,188.0
55.0,189.0
51.0,190.0
56.0,191.0
51.0,192.0
59.0,193.0
41.0,194.0
55.0,195.0
52.0,196.0
52.0,197.0
51.0,198.0
59.0,199.0
43.0,200.0
52.0,201.0
51.0,202.0
54.0,203.0
51.0,204.0
58.0,205.0
45.0,206.0
50.0,207.0
48.0,208.0
56.0,209.0
50.0,210.0
57.0,211.0
47.0,212.0
56.0,213.0
42.0,214.0
59.0,215.0
49.0,216.0
57.0,217.0
50.0,218.0
57.0,219.0
41.0,220.0
56.0,221.0
50.0,222.0
58.0,223.0
53.0,224.0
56.0,225.0
43.0,226.0
54.0,227.0
48.0,228.0
57.0,229.0
52.0,230.0
59.0,231.0
41.0,232.0
57.0,233.0
49.0,234.0
55.0,235.0
51.0,236.0
59.0,237.0
42.0,238.0
53.0,239.0
49.0,240.0
54.0,241.0
52.0,242.0
57.0,243.0
47.0,244.0
55.0,245.0
46.0,246.0
58.0,247.0
50.0,248.0
58.0,249.0
46.0,250.0
55.0,251.0
47.0,252.0
56.0,253.0
48.0,254.0
57.0,255.0
48.0,256.0
54.0,257.0
46.0,258.0
58.0,259.0
50.0,260.0
54.0,261.0
50.0,262.0
53.0,263.0
48.0,264.0
55.0,265.0
50.0,266.0
54.0,267.0
49.0,268.0
54.0,269.0
49.0,270.0
54.0,271.0
51.0,272.0
54.0,273.0
51.0,274.0
51.0,275.0
52.0,276.0
52.0,277.0
54.0,278.0
52.0,279.0
50.0,280.0
51.0,281.0
53.0,282.0
52.0,283.0
55.0,284.0
51.0,285.0
51.0,286.0
50.0,287.0
52.0,288.0
53.0,289.0
53.0,290.0
53.0,291.0
52.0,292.0
50.0,293.0
53.0,294.0
51.0,295.0
54.0,296.0
50.0,297.0
53.0,298.0
49.0,299.0
54.0,300.0
50.0,301.0
53.0,302.0
51.0,303.0
54.0,304.0
51.0,305.0
51.0,306.0
52.0,307.0
52.0,308.0
54.0,309.0
52.0,310.0
50.0,311.0
51.0,312.0
53.0,313.0
52.0,314.0
55.0,315.0
51.0,316.0
51.0,317.0
50.0,318.0
52.0,319.0
53.0,320.0
53.0,321.0
53.0,322.0
52.0,323.0
50.0,324.0
53.0,325.0
51.0,326.0
54.0,327.0
50.0,328.0
53.0,329.0
49.0,330.0
54.0,331.0
50.0,332.0
53.0,333.0
51.0,334.0
54.0,335.0
51.0,336.0
51.0,337.0
52.0,338.0
52.0,339.0
54.0,340.0
52.0,341.0
50.0,342.0
51.0,343.0
53.0,344.0
52.0,345.0
55.0,346.0
51.0,347.0
51.0,348.0
50.0,349.0
52.0,350.0
53.0,351.0
53.0,352.0
53.0,353.0
52.0,354.0
50.0,355.0
53.0,356.0
51.0,357.0
54.0,358.0
50.0,359.0
53.0,360.0
49.0,361.0
54.0,362.0
50.0,363.0
53.0,364.0
51.0,365.0
54.0,366.0
51.0,367.0
51.0,368.0
52.0,369.0
52.0,370.0
54.0,371.0
52.0,372.0
50.0,373.0
51.0,374.0
53.0,375.0
52.0,376.0
55.0,377.0
51.0,378.0
51.0,379.0
50.0,380.0
52.0,381.0
53.0,382.0
53.0,383.0
53.0,384.0
52.0,385.0
50.0,386.0
53.0,387.0
51.0,388.0
54.0,389.0
50.0,390.0
53.0,391.0
49.0,392.0
54.0,393.0
50.0,394.0
53.0,395.0
51.0,396.0
54.0,397.0
51.0,398.0
51.0,399.0
52.0,400.0
52.0,401.0
54.0,402.0
52.0,403.0
50.0,404.0
51.0,405.0
53.0,406.0
52.0,407.0
55.0,408.0
51.0,409.0
51.0,410.0
50.0,411.0
52.0,412.0
53.0,413.0
53.0,414.0
53.0,415.0
52.0,416.0
50.0,417.0
53.0,418.0
51.0,419.0
54.0,420.0
50.0,421.0
53.0,422.0
49.0,423.0
54.0,424.0
50.0,425.0
53.0,426.0
51.0,427.0
54.0,428.0
51.0,429.0
51.0,430.0
52.0,431.0
52.0,432.0
54.0,433.0
52.0,434.0
50.0,435.0
51.0,436.0
53.0,437.0
52.0,438.0
55.0,439.0
51.0,440.0
51.0,441.0
50.0,442.0
52.0,443.0
53.0,444.0
53.0,445.0
53.0,446.0
52.0,447.0
50.0,448.0
53.0,449.0
51.0,450.0
54.0,451.0
50.0,452.0
53.0,453.0
49.0,454.0
54.0,455.0
50.0,456.0
53.0,457.0
51.0,458.0
54.0,459.0
51.0,460.0
51.0,461.0
52.0,462.0
52.0,463.0
54.0,464.0
52.0,465.0
50.0,466.0
51.0,467.0
53.0,468.0
52.0,469.0
55.0,470.0
51.0,471.0
51.0,472.0
50.0,473.0
52.0,474.0
53.0,475.0
53.0,476.0
53.0,477.0
52.0,478.0
50.0,479.0
53.0,480.0
51.0,481.0
54.0,482.0
50.0,483.0
53.0,484.0
49.0,485.0
54.0,486.0
50.0,487.0
53.0,488.0
51.0,489.0
54.0,490.0
51.0,491.0
51.0,492.0
52.0,493.0
52.0,494.0
54.0,495.0
52.0,496.0
50.0,497.0
51.0,498.0
53.0,499.0
52.0,500.0
57.0,0.0
59.0,1.0
50.0,2.0
68.0,3.0
69.0,4.0
49.0,5.0
57.0,6.0
62.0,7.0
56.0,8.0
63.0,9.0
63.0,10.0
55.0,11.0
62.0,12.0
60.0,13.0
58.0,14.0
58.0,15.0
61.0,16.0
60.0,17.0
60.0,18.0
60.0,19.0
59.0,20.0
60.0,21.0
60.0,22.0
60.0,23.0
60.0,24.0
60.0,25.0
60.0,26.0
60.0,27.0
60.0,28.0
60.0,29.0
60.0,30.0
60.0,31.0
60.0,32.0
60.0,33.0
60.0,34.0
60.0,35.0
60.0,36.0
60.0,37.0
60.0,38.0
60.0,39.0
60.0,40.0
60.0,41.0
60.0,42.0
60.0,43.0
60.0,44.0
60.0,45.0
60.0,46.0
60.0,47.0
60.0,48.0
60.0,49.0
60.0,50.0
60.0,51.0
60.0,52.0
60.0,53.0
60.0,54.0
60.0,55.0
60.0,56.0
60.0,57.0
60.0,58.0
60.0,59.0
60.0,60.0
60.0,61.0
60.0,62.0
60.0,63.0
60.0,64.0
60.0,65.0
60.0,66.0
60.0,67.0
60.0,68.0
60.0,69.0
60.0,70.0
60.0,71.0
60.0,72.0
60.0,73.0
60.0,74.0
60.0,75.0
60.0,76.0
60.0,77.0
60.0,78.0
60.0,79.0
60.0,80.0
60.0,81.0
60.0,82.0
60.0,83.0
60.0,84.0
60.0,85.0
60.0,86.0
60.0,87.0
60.0,88.0
60.0,89.0
60.0,90.0
60.0,91.0
60.0,92.0
60.0,93.0
60.0,94.0
60.0,95.0
60.0,96.0
60.0,97.0
60.0,98.0
60.0,99.0
60.0,100.0
60.0,101.0
60.0,102.0
60.0,103.0
60.0,104.0
60.0,105.0
60.0,106.0
60.0,107.0
60.0,108.0
60.0,109.0
60.0,110.0
60.0,111.0
60.0,112.0
60.0,113.0
60.0,114.0
60.0,115.0
60.0,116.0
60.0,117.0
60.0,118.0
60.0,119.0
60.0,120.0
60.0,121.0
60.0,122.0
60.0,123.0
60.0,124.0
60.0,125.0
60.0,126.0
60.0,127.0
60.0,128.0
60.0,129.0
60.0,130.0
60.0,131.0
60.0,132.0
60.0,133.0
60.0,134.0
60.0,135.0
60.0,136.0
60.0,137.0
60.0,138.0
60.0,139.0
60.0,140.0
60.0,141.0
60.0,142.0
60.0,143.0
60.0,144.0
60.0,145.0
60.0,146.0
60.0,147.0
60.0,148.0
60.0,149.0
60.0,150.0
60.0,151.0
60.0,152.0
60.0,153.0
60.0,154.0
60.0,155.0
60.0,156.0
60.0,157.0
60.0,158.0
60.0,159.0
60.0,160.0
60.0,161.0
60.0,162.0
60.0,163.0
60.0,164.0
60.0,165.0
60.0,166.0
60.0,167.0
60.0,168.0
60.0,169.0
60.0,170.0
60.0,171.0
60.0,172.0
60.0,173.0
60.0,174.0
60.0,175.0
60.0,176.0
60.0,177.0
60.0,178.0
60.0,179.0
60.0,180.0
60.0,181.0
60.0,182.0
60.0,183.0
60.0,184.0
60.0,185.0
60.0,186.0
60.0,187.0
60.0,188.0
60.0,189.0
60.0,190.0
60.0,191.0
60.0,192.0
60.0,193.0
60.0,194.0
60.0,195.0
60.0,196.0
60.0,197.0
60.0,198.0
60.0,199.0
60.0,200.0
60.0,201.0
60.0,202.0
60.0,203.0
60.0,204.0
60.0,205.0
60.0,206.0
60.0,207.0
60.0,208.0
60.0,209.0
60.0,210.0
60.0,211.0
60.0,212.0
60.0,213.0
60.0,214.0
60.0,215.0
60.0,216.0
60.0,217.0
60.0,218.0
60.0,219.0
60.0,220.0
60.0,221.0
60.0,222.0
60.0,223.0
60.0,224.0
60.0,225.0
60.0,226.0
60.0,227.0
60.0,228.0
60.0,229.0
60.0,230.0
60.0,231.0
60.0,232.0
60.0,233.0
60.0,234.0
60.0,235.0
60.0,236.0
60.0,237.0
60.0,238.0
60.0,239.0
60.0,240.0
60.0,241.0
60.0,242.0
60.0,243.0
60.0,244.0
60.0,245.0
60.0,246.0
60.0,247.0
60.0,248.0
60.0,249.0
60.0,250.0
60.0,251.0
60.0,252.0
60.0,253.0
60.0,254.0
60.0,255.0
60.0,256.0
60.0,257.0
60.0,258.0
60.0,259.0
60.0,260.0
60.0,261.0
60.0,262.0
60.0,263.0
60.0,264.0
60.0,265.0
60.0,266.0
60.0,267.0
60.0,268.0
60.0,269.0
60.0,270.0
60.0,271.0
60.0,272.0
60.0,273.0
60.0,274.0
60.0,275.0
60.0,276.0
60.0,277.0
60.0,278.0
60.0,279.0
60.0,280.0
60.0,281.0
60.0,282.0
60.0,283.0
60.0,284.0
60.0,285.0
60.0,286.0
60.0,287.0
60.0,288.0
60.0,289.0
60.0,290.0
60.0,291.0
60.0,292.0
60.0,293.0
60.0,294.0
60.0,295.0
60.0,296.0
60.0,297.0
60.0,298.0
60.0,299.0
60.0,300.0
60.0,301.0
60.0,302.0
60.0,303.0
60.0,304.0
60.0,305.0
60.0,306.0
60.0,307.0
60.0,308.0
60.0,309.0
60.0,310.0
60.0,311.0
60.0,312.0
60.0,313.0
60.0,314.0
60.0,315.0
60.0,316.0
60.0,317.0
60.0,318.0
60.0,319.0
60.0,320.0
60.0,321.0
60.0,322.0
60.0,323.0
60.0,324.0
60.0,325.0
60.0,326.0
60.0,327.0
60.0,328.0
60.0,329.0
60.0,330.0
60.0,331.0
60.0,332.0
60.0,333.0
60.0,334.0
60.0,335.0
60.0,336.0
60.0,337.0
60.0,338.0
60.0,339.0
60.0,340.0
60.0,341.0
60.0,342.0
60.0,343.0
60.0,344.0
60.0,345.0
60.0,346.0
60.0,347.0
60.0,348.0
60.0,349.0
60.0,350.0
60.0,351.0
60.0,352.0
60.0,353.0
60.0,354.0
60.0,355.0
60.0,356.0
60.0,357.0
60.0,358.0
60.0,359.0
60.0,360.0
60.0,361.0
60.0,362.0
60.0,363.0
60.0,364.0
60.0,365.0
60.0,366.0
60.0,367.0
60.0,368.0
60.0,369.0
60.0,370.0
60.0,371.0
60.0,372.0
60.0,373.0
60.0,374.0
60.0,375.0
60.0,376.0
60.0,377.0
60.0,378.0
60.0,379.0
60.0,380.0
60.0,381.0
60.0,382.0
60.0,383.0
60.0,384.0
60.0,385.0
60.0,386.0
60.0,387.0
60.0,388.0
60.0,389.0
60.0,390.0
60.0,391.0
60.0,392.0
60.0,393.0
60.0,394.0
60.0,395.0
60.0,396.0
60.0,397.0
60.0,398.0
60.0,399.0
60.0,400.0
60.0,401.0
60.0,402.0
60.0,403.0
60.0,404.0
60.0,405.0
60.0,406.0
60.0,407.0
60.0,408.0
60.0,409.0
60.0,410.0
60.0,411.0
60.0,412.0
60.0,413.0
60.0,414.0
60.0,415.0
60.0,416.0
60.0,417.0
60.0,418.0
60.0,419.0
60.0,420.0
60.0,421.0
60.0,422.0
60.0,423.0
60.0,424.0
60.0,425.0
60.0,426.0
60.0,427.0
60.0,428.0
60.0,429.0
60.0,430.0
60.0,431.0
60.0,432.0
60.0,433.0
60.0,434.0
60.0,435.0
60.0,436.0
60.0,437.0
60.0,438.0
60.0,439.0
60.0,440.0
60.0,441.0
60.0,442.0
60.0,443.0
60.0,444.0
60.0,445.0
60.0,446.0
60.0,447.0
60.0,448.0
60.0,449.0
60.0,450.0
60.0,451.0
60.0,452.0
60.0,453.0
60.0,454.0
60.0,455.0
60.0,456.0
60.0,457.0
60.0,458.0
60.0,459.0
60.0,460.0
60.0,461.0
60.0,462.0
60.0,463.0
60.0,464.0
60.0,465.0
60.0,466.0
60.0,467.0
60.0,468.0
60.0,469.0
60.0,470.0
60.0,471.0
60.0,472.0
60.0,473.0
60.0,474.0
60.0,475.0
60.0,476.0
60.0,477.0
60.0,478.0
60.0,479.0
60.0,480.0
60.0,481.0
60.0,482.0
60.0,483.0
60.0,484.0
60.0,485.0
60.0,486.0
60.0,487.0
60.0,488.0
60.0,489.0
60.0,490.0
60.0,491.0
60.0,492.0
60.0,493.0
60.0,494.0
60.0,495.0
60.0,496.0
60.0,497.0
60.0,498.0
60.0,499.0
60.0,500.0
20.0,0.0
80.0,1.0
73.0,2.0
67.0,3.0
73.0,4.0
60.0,5.0
46.0,6.0
62.0,7.0
75.0,8.0
71.0,9.0
63.0,10.0
63.0,11.0
60.0,12.0
59.0,13.0
69.0,14.0
73.0,15.0
64.0,16.0
63.0,17.0
64.0,18.0
62.0,19.0
67.0,20.0
68.0,21.0
68.0,22.0
64.0,23.0
64.0,24.0
65.0,25.0
64.0,26.0
68.0,27.0
68.0,28.0
66.0,29.0
64.0,30.0
66.0,31.0
65.0,32.0
67.0,33.0
67.0,34.0
67.0,35.0
65.0,36.0
66.0,37.0
66.0,38.0
66.0,39.0
67.0,40.0
67.0,41.0
66.0,42.0
65.0,43.0
66.0,44.0
67.0,45.0
66.0,46.0
66.0,47.0
66.0,48.0
66.0,49.0
66.0,50.0
67.0,51.0
67.0,52.0
66.0,53.0
65.0,54.0
67.0,55.0
65.0,56.0
67.0,57.0
67.0,58.0
67.0,59.0
65.0,60.0
66.0,61.0
67.0,62.0
64.0,63.0
67.0,64.0
68.0,65.0
64.0,66.0
66.0,67.0
66.0,68.0
65.0,69.0
66.0,70.0
68.0,71.0
67.0,72.0
65.0,73.0
64.0,74.0
66.0,75.0
64.0,76.0
68.0,77.0
68.0,78.0
66.0,79.0
65.0,80.0
65.0,81.0
64.0,82.0
67.0,83.0
68.0,84.0
67.0,85.0
65.0,86.0
64.0,87.0
66.0,88.0
64.0,89.0
68.0,90.0
68.0,91.0
66.0,92.0
65.0,93.0
65.0,94.0
64.0,95.0
67.0,96.0
68.0,97.0
67.0,98.0
65.0,99.0
64.0,100.0
66.0,101.0
64.0,102.0
68.0,103.0
68.0,104.0
66.0,105.0
65.0,106.0
65.0,107.0
64.0,108.0
67.0,109.0
68.0,110.0
67.0,111.0
65.0,112.0
64.0,113.0
66.0,114.0
64.0,115.0
68.0,116.0
68.0,117.0
66.0,118.0
65.0,119.0
65.0,120.0
64.0,121.0
67.0,122.0
68.0,123.0
67.0,124.0
65.0,125.0
64.0,126.0
66.0,127.0
64.0,128.0
68.0,129.0
68.0,130.0
66.0,131.0
65.0,132.0
65.0,133.0
64.0,134.0
67.0,135.0
68.0,136.0
67.0,137.0
65.0,138.0
64.0,139.0
66.0,140.0
64.0,141.0
68.0,142.0
68.0,143.0
66.0,144.0
65.0,145.0
65.0,146.0
64.0,147.0
67.0,148.0
68.0,149.0
67.0,150.0
65.0,151.0
64.0,152.0
66.0,153.0
64.0,154.0
68.0,155.0
68.0,156.0
66.0,157.0
65.0,158.0
65.0,159.0
64.0,160.0
67.0,161.0
68.0,162.0
67.0,163.0
65.0,164.0
64.0,165.0
66.0,166.0
64.0,167.0
68.0,168.0
68.0,169.0
66.0,170.0
65.0,171.0
65.0,172.0
64.0,173.0
67.0,174.0
68.0,175.0
67.0,176.0
65.0,177.0
64.0,178.0
66.0,179.0
64.0,180.0
68.0,181.0
68.0,182.0
66.0,183.0
65.0,184.0
65.0,185.0
64.0,186.0
67.0,187.0
68.0,188.0
67.0,189.0
65.0,190.0
64.0,191.0
66.0,192.0
64.0,193.0
68.0,194.0
68.0,195.0
66.0,196.0
65.0,197.0
65.0,198.0
64.0,199.0
67.0,200.0
68.0,201.0
67.0,202.0
65.0,203.0
64.0,204.0
66.0,205.0
64.0,206.0
68.0,207.0
68.0,208.0
66.0,209.0
65.0,210.0
65.0,211.0
64.0,212.0
67.0,213.0
68.0,214.0
67.0,215.0
65.0,216.0
64.0,217.0
66.0,218.0
64.0,219.0
68.0,220.0
68.0,221.0
66.0,222.0
65.0,223.0
65.0,224.0
64.0,225.0
67.0,226.0
68.0,227.0
67.0,228.0
65.0,229.0
64.0,230.0
66.0,231.0
64.0,232.0
68.0,233.0
68.0,234.0
66.0,235.0
65.0,236.0
65.0,237.0
64.0,238.0
67.0,239.0
68.0,240.0
67.0,241.0
65.0,242.0
64.0,243.0
66.0,244.0
